288, band 20 module 1 CCD column 730 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    10480.817079       0.000000
    10482.406301       0.000000
    10483.996676       0.000000
    10485.586862       0.000000
    10487.177531       0.000000
    10488.768682       0.000000
    10490.360317       0.000000
    10491.952434       0.000000
    10493.545035       0.000000
    10495.138120       0.000000
    10496.731688       0.000000
    10498.325740       0.000000
    10499.920277       0.000001
    10501.515297       0.000003
    10503.110803       0.000010
    10504.706793       0.000029
    10506.303269       0.000077
    10507.900230       0.000198
    10509.497676       0.000481
    10511.095608       0.001110
    10512.694027       0.002433
    10514.292931       0.005062
    10515.892322       0.010001
    10517.492200       0.018759
    10519.092564       0.033412
    10520.694091       0.056508
    10522.295430       0.090767
    10523.897257       0.138497
    10525.499571       0.200817
    10527.102373       0.276848
    10528.705664       0.363184
    10530.309443       0.453955
    10531.913711       0.541683
    10533.518467       0.618842
    10535.123713       0.679730
    10536.729448       0.721985
    10538.335672       0.747164
    10539.942387       0.760026
    10541.549591       0.766732
    10543.157286       0.772642
    10544.765471       0.780587
    10546.374146       0.790319
    10547.983313       0.799354
    10549.592971       0.804743
    10551.203120       0.804900
    10552.813760       0.800630
    10554.424893       0.794844
    10556.037198       0.791170
    10557.649315       0.792153
    10559.261924       0.797987
    10560.875026       0.806420
    10562.488621       0.813880
    10564.102710       0.817279
    10565.717291       0.815563
    10567.332367       0.810259
    10568.947936       0.804701
    10570.563999       0.802362
    10572.180556       0.805104
    10573.797608       0.812230
    10575.415155       0.820836
    10577.033196       0.827261
    10578.651733       0.828938
    10580.270766       0.825683
    10581.890294       0.819797
    10583.510317       0.814915
    10585.130837       0.814175
    10586.751853       0.818637
    10588.373366       0.826740
    10589.995376       0.835089
    10591.617883       0.840151
    10593.241571       0.840043
    10594.865073       0.835484
    10596.489072       0.829436
    10598.113569       0.825620
    10599.738565       0.826643
    10601.364059       0.832681
    10602.990051       0.841381
    10604.616542       0.849043
    10606.243533       0.852484
    10607.871022       0.850639
    10609.499011       0.845106
    10611.127500       0.839348
    10612.756489       0.836957
    10614.385978       0.839841
    10616.015968       0.847262
    10617.646458       0.856207
    10619.277450       0.862897
    10620.908942       0.864690
    10622.540936       0.861420
    10624.173431       0.855525
    10625.806429       0.850679
    10627.439928       0.850091
    10629.073930       0.854818
    10630.709124       0.863227
    10632.344131       0.871813
    10633.979641       0.877058
    10635.615654       0.877317
    10637.252171       0.873040
    10638.889192       0.867305
    10640.526717       0.863941
    10642.164745       0.865590
    10643.803278       0.872372
    10645.442316       0.881853
    10647.081859       0.890253
    10648.721906       0.894235
    10650.362459       0.892765
    10652.003518       0.887561
    10653.645082       0.882236
    10655.287153       0.880478
    10656.929730       0.884191
    10658.572813       0.892526
    10660.216403       0.902282
    10661.860500       0.909541
    10663.505104       0.911626
    10665.150216       0.908468
    10666.796529       0.902646
    10668.442657       0.898101
    10670.089292       0.898144
    10671.736436       0.903775
    10673.384089       0.913181
    10675.032250       0.922634
    10676.680921       0.928367
    10678.330100       0.928480
    10679.979790       0.923911
    10681.629989       0.917964
    10683.280698       0.914650
    10684.931918       0.916672
    10686.583648       0.924047
    10688.235888       0.934086
    10689.888640       0.942743
    10691.541903       0.946665
    10693.195678       0.944869
    10694.849964       0.939259
    10696.504762       0.933680
    10698.160072       0.931976
    10699.815894       0.936048
    10701.472230       0.944883
    10703.129078       0.955071
    10704.787138       0.962490
    10706.445013       0.964408
    10708.103402       0.960866
    10709.762304       0.954663
    10711.421720       0.949956
    10713.081651       0.950159
    10714.742096       0.956231
    10716.403056       0.966154
    10718.064531       0.975964
    10719.726521       0.981740
    10721.389027       0.981587
    10723.052049       0.976596
    10724.715586       0.970309
    10726.379640       0.966948
    10728.044210       0.969250
    10729.709297       0.977110
    10731.374901       0.987598
    10733.041022       0.996411
    10734.707661       1.000000
    10736.374817       0.997282
    10738.042491       0.990049
    10739.710683       0.981760
    10741.380098       0.975383
    10743.049328       0.971195
    10744.719076       0.965706
    10746.389344       0.952239
    10748.060131       0.923027
    10749.731437       0.871953
    10751.403264       0.796816
    10753.075610       0.700349
    10754.748477       0.589589
    10756.421864       0.474030
    10758.095772       0.363275
    10759.770202       0.265018
    10761.445152       0.183892
    10763.120624       0.121299
    10764.796618       0.076033
    10766.473134       0.045279
    10768.150173       0.025614
    10769.827733       0.013763
    10771.505817       0.007024
    10773.184424       0.003404
    10774.863553       0.001567
    10776.543207       0.000685
    10778.223384       0.000284
    10779.904794       0.000112
    10781.586020       0.000042
    10783.267770       0.000015
    10784.950045       0.000005
    10786.632844       0.000002
    10788.316169       0.000000
    10790.000020       0.000000
    10791.684396       0.000000
    10793.369298       0.000000
    10795.054726       0.000000
    10796.740681       0.000000
    10798.427163       0.000000
    10800.114171       0.000000
    10801.801707       0.000000
    10803.489770       0.000000
    10805.178361       0.000000
    10806.867479       0.000000
